strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,category,combined
22,energetic,focused,happy,uplifted,creative,pain,depression,fatigue,stress,musclespasms,headache,none,none,none,none,diesel,pine,skunk,hybrid,"energetic, focused, happy, uplifted, creative, pain, depression, fatigue, stress, musclespasms, headache, none, none, none, none, diesel, pine, skunk, hybrid"
999,relaxed,creative,euphoric,happy,uplifted,stress,spasticity,depression,seizures,musclespasms,anxious,dryeyes,drymouth,paranoid,dizzy,citrus,earthy,pine,indica,"relaxed, creative, euphoric, happy, uplifted, stress, spasticity, depression, seizures, musclespasms, anxious, dryeyes, drymouth, paranoid, dizzy, citrus, earthy, pine, indica"
1024,uplifted,energetic,happy,relaxed,focused,pain,fatigue,depression,stress,inflammation,drymouth,dryeyes,dizzy,paranoid,anxious,tropical,mint,blueberry,sativa,"uplifted, energetic, happy, relaxed, focused, pain, fatigue, depression, stress, inflammation, drymouth, dryeyes, dizzy, paranoid, anxious, tropical, mint, blueberry, sativa"
100 og,happy,uplifted,relaxed,euphoric,sleepy,stress,pain,depression,insomnia,lackofappetite,drymouth,dizzy,dryeyes,anxious,paranoid,earthy,diesel,pungent,hybrid,"happy, uplifted, relaxed, euphoric, sleepy, stress, pain, depression, insomnia, lackofappetite, drymouth, dizzy, dryeyes, anxious, paranoid, earthy, diesel, pungent, hybrid"
12 year og,focused,creative,hungry,euphoric,aroused,depression,pain,stress,none,none,anxious,dizzy,dryeyes,drymouth,headache,diesel,none,none,hybrid,"focused, creative, hungry, euphoric, aroused, depression, pain, stress, none, none, anxious, dizzy, dryeyes, drymouth, headache, diesel, none, none, hybrid"
13 dawgs,sleepy,euphoric,focused,energetic,relaxed,pain,depression,stress,inflammation,fatigue,anxious,dryeyes,headache,drymouth,none,diesel,apricot,citrus,hybrid,"sleepy, euphoric, focused, energetic, relaxed, pain, depression, stress, inflammation, fatigue, anxious, dryeyes, headache, drymouth, none, diesel, apricot, citrus, hybrid"
24k gold,happy,relaxed,euphoric,uplifted,creative,stress,depression,pain,fatigue,insomnia,drymouth,dryeyes,dizzy,anxious,headache,orange,citrus,sweet,hybrid,"happy, relaxed, euphoric, uplifted, creative, stress, depression, pain, fatigue, insomnia, drymouth, dryeyes, dizzy, anxious, headache, orange, citrus, sweet, hybrid"
3 bears og,relaxed,giggly,sleepy,tingly,energetic,pain,stress,lackofappetite,musclespasms,insomnia,drymouth,dryeyes,headache,anxious,none,diesel,sweet,butter,indica,"relaxed, giggly, sleepy, tingly, energetic, pain, stress, lackofappetite, musclespasms, insomnia, drymouth, dryeyes, headache, anxious, none, diesel, sweet, butter, indica"
3 kings,happy,relaxed,uplifted,euphoric,energetic,stress,pain,depression,headaches,eyepressure,drymouth,dryeyes,dizzy,headache,paranoid,earthy,diesel,pine,hybrid,"happy, relaxed, uplifted, euphoric, energetic, stress, pain, depression, headaches, eyepressure, drymouth, dryeyes, dizzy, headache, paranoid, earthy, diesel, pine, hybrid"
303 og,focused,relaxed,uplifted,euphoric,sleepy,pain,depression,insomnia,musclespasms,headaches,drymouth,dryeyes,dizzy,anxious,none,diesel,earthy,woody,indica,"focused, relaxed, uplifted, euphoric, sleepy, pain, depression, insomnia, musclespasms, headaches, drymouth, dryeyes, dizzy, anxious, none, diesel, earthy, woody, indica"
3d cbd,relaxed,happy,uplifted,focused,talkative,pain,stress,inflammation,headaches,depression,drymouth,dryeyes,none,none,none,diesel,woody,earthy,sativa,"relaxed, happy, uplifted, focused, talkative, pain, stress, inflammation, headaches, depression, drymouth, dryeyes, none, none, none, diesel, woody, earthy, sativa"
3rd coast panama chunk,energetic,focused,happy,uplifted,talkative,pain,depression,headaches,stress,fatigue,none,none,none,none,none,diesel,pine,butter,hybrid,"energetic, focused, happy, uplifted, talkative, pain, depression, headaches, stress, fatigue, none, none, none, none, none, diesel, pine, butter, hybrid"
3x crazy,relaxed,happy,sleepy,uplifted,euphoric,stress,insomnia,pain,depression,fatigue,drymouth,dryeyes,dizzy,anxious,paranoid,earthy,grape,woody,indica,"relaxed, happy, sleepy, uplifted, euphoric, stress, insomnia, pain, depression, fatigue, drymouth, dryeyes, dizzy, anxious, paranoid, earthy, grape, woody, indica"
501st og,happy,relaxed,energetic,euphoric,uplifted,stress,pain,depression,insomnia,headaches,drymouth,dryeyes,headache,anxious,dizzy,sweet,pine,pungent,hybrid,"happy, relaxed, energetic, euphoric, uplifted, stress, pain, depression, insomnia, headaches, drymouth, dryeyes, headache, anxious, dizzy, sweet, pine, pungent, hybrid"
541 kush,energetic,focused,none,none,none,pain,none,none,none,none,none,none,none,none,none,diesel,none,none,hybrid,"energetic, focused, none, none, none, pain, none, none, none, none, none, none, none, none, none, diesel, none, none, hybrid"
5th element,energetic,relaxed,euphoric,happy,hungry,pain,stress,lackofappetite,musclespasms,inflammation,dryeyes,drymouth,paranoid,dizzy,headache,earthy,pungent,lemon,indica,"energetic, relaxed, euphoric, happy, hungry, pain, stress, lackofappetite, musclespasms, inflammation, dryeyes, drymouth, paranoid, dizzy, headache, earthy, pungent, lemon, indica"
707 headband,relaxed,euphoric,happy,creative,uplifted,pain,stress,depression,nausea,musclespasms,drymouth,dryeyes,anxious,dizzy,paranoid,earthy,sweet,pungent,hybrid,"relaxed, euphoric, happy, creative, uplifted, pain, stress, depression, nausea, musclespasms, drymouth, dryeyes, anxious, dizzy, paranoid, earthy, sweet, pungent, hybrid"
707 truthband,happy,energetic,focused,relaxed,uplifted,pain,none,none,none,none,dryeyes,none,none,none,none,none,none,none,hybrid,"happy, energetic, focused, relaxed, uplifted, pain, none, none, none, none, dryeyes, none, none, none, none, none, none, none, hybrid"
8 ball kush,relaxed,happy,uplifted,euphoric,hungry,pain,depression,inflammation,stress,musclespasms,drymouth,dryeyes,headache,anxious,dizzy,earthy,spicy/herbal,pine,indica,"relaxed, happy, uplifted, euphoric, hungry, pain, depression, inflammation, stress, musclespasms, drymouth, dryeyes, headache, anxious, dizzy, earthy, spicy/herbal, pine, indica"
818 og,happy,relaxed,tingly,euphoric,sleepy,insomnia,pain,stress,nausea,inflammation,drymouth,dryeyes,paranoid,none,none,earthy,flowery,pungent,indica,"happy, relaxed, tingly, euphoric, sleepy, insomnia, pain, stress, nausea, inflammation, drymouth, dryeyes, paranoid, none, none, earthy, flowery, pungent, indica"
831 og,relaxed,creative,hungry,euphoric,focused,insomnia,pain,stress,depression,cramps,drymouth,dizzy,headache,none,none,cheese,flowery,chemical,indica,"relaxed, creative, hungry, euphoric, focused, insomnia, pain, stress, depression, cramps, drymouth, dizzy, headache, none, none, cheese, flowery, chemical, indica"
9 pound hammer,relaxed,sleepy,euphoric,happy,hungry,insomnia,pain,stress,depression,musclespasms,drymouth,dryeyes,dizzy,anxious,headache,earthy,sweet,citrus,indica,"relaxed, sleepy, euphoric, happy, hungry, insomnia, pain, stress, depression, musclespasms, drymouth, dryeyes, dizzy, anxious, headache, earthy, sweet, citrus, indica"
91 krypt,relaxed,happy,euphoric,giggly,sleepy,stress,depression,lackofappetite,insomnia,pain,drymouth,dizzy,dryeyes,none,none,diesel,skunk,earthy,indica,"relaxed, happy, euphoric, giggly, sleepy, stress, depression, lackofappetite, insomnia, pain, drymouth, dizzy, dryeyes, none, none, diesel, skunk, earthy, indica"
aberdeen,uplifted,giggly,happy,energetic,sleepy,cramps,depression,fatigue,headaches,lackofappetite,anxious,dryeyes,drymouth,none,none,bluecheese,chemical,menthol,hybrid,"uplifted, giggly, happy, energetic, sleepy, cramps, depression, fatigue, headaches, lackofappetite, anxious, dryeyes, drymouth, none, none, bluecheese, chemical, menthol, hybrid"
abusive og,relaxed,happy,sleepy,euphoric,uplifted,stress,insomnia,pain,depression,headaches,drymouth,dryeyes,dizzy,anxious,headache,earthy,pungent,lavender,indica,"relaxed, happy, sleepy, euphoric, uplifted, stress, insomnia, pain, depression, headaches, drymouth, dryeyes, dizzy, anxious, headache, earthy, pungent, lavender, indica"
acapulco gold,happy,uplifted,creative,euphoric,energetic,stress,depression,fatigue,pain,headaches,drymouth,dryeyes,anxious,paranoid,dizzy,earthy,woody,sweet,sativa,"happy, uplifted, creative, euphoric, energetic, stress, depression, fatigue, pain, headaches, drymouth, dryeyes, anxious, paranoid, dizzy, earthy, woody, sweet, sativa"
acdc,relaxed,happy,focused,uplifted,sleepy,pain,stress,depression,inflammation,fatigue,drymouth,anxious,dryeyes,paranoid,dizzy,earthy,woody,pine,hybrid,"relaxed, happy, focused, uplifted, sleepy, pain, stress, depression, inflammation, fatigue, drymouth, anxious, dryeyes, paranoid, dizzy, earthy, woody, pine, hybrid"
ace killer og,relaxed,euphoric,sleepy,hungry,happy,stress,pain,insomnia,depression,lackofappetite,dizzy,drymouth,none,none,none,earthy,diesel,pine,indica,"relaxed, euphoric, sleepy, hungry, happy, stress, pain, insomnia, depression, lackofappetite, dizzy, drymouth, none, none, none, earthy, diesel, pine, indica"
ace of spades,relaxed,euphoric,happy,sleepy,uplifted,pain,depression,stress,fatigue,insomnia,drymouth,dryeyes,dizzy,anxious,headache,earthy,pine,woody,indica,"relaxed, euphoric, happy, sleepy, uplifted, pain, depression, stress, fatigue, insomnia, drymouth, dryeyes, dizzy, anxious, headache, earthy, pine, woody, indica"
aceh,creative,relaxed,focused,euphoric,energetic,insomnia,pain,depression,stress,headaches,drymouth,dizzy,dryeyes,none,none,earthy,citrus,tropical,sativa,"creative, relaxed, focused, euphoric, energetic, insomnia, pain, depression, stress, headaches, drymouth, dizzy, dryeyes, none, none, earthy, citrus, tropical, sativa"
acid,creative,happy,energetic,relaxed,focused,stress,depression,nausea,pain,insomnia,dryeyes,drymouth,dizzy,anxious,headache,citrus,earthy,pungent,hybrid,"creative, happy, energetic, relaxed, focused, stress, depression, nausea, pain, insomnia, dryeyes, drymouth, dizzy, anxious, headache, citrus, earthy, pungent, hybrid"
acid dough,happy,talkative,creative,uplifted,energetic,depression,fatigue,lackofappetite,stress,insomnia,dryeyes,drymouth,paranoid,none,none,citrus,flowery,earthy,sativa,"happy, talkative, creative, uplifted, energetic, depression, fatigue, lackofappetite, stress, insomnia, dryeyes, drymouth, paranoid, none, none, citrus, flowery, earthy, sativa"
afcrack,relaxed,creative,uplifted,focused,energetic,depression,fatigue,headaches,lackofappetite,stress,drymouth,anxious,dryeyes,paranoid,none,sage,earthy,flowery,hybrid,"relaxed, creative, uplifted, focused, energetic, depression, fatigue, headaches, lackofappetite, stress, drymouth, anxious, dryeyes, paranoid, none, sage, earthy, flowery, hybrid"
afghan big bud,happy,focused,euphoric,uplifted,creative,pain,stress,insomnia,nausea,depression,anxious,drymouth,dryeyes,paranoid,none,vanilla,earthy,pungent,indica,"happy, focused, euphoric, uplifted, creative, pain, stress, insomnia, nausea, depression, anxious, drymouth, dryeyes, paranoid, none, vanilla, earthy, pungent, indica"
afghan cow,focused,happy,euphoric,creative,energetic,fatigue,stress,depression,inflammation,lackofappetite,drymouth,anxious,dizzy,dryeyes,headache,sweet,vanilla,diesel,sativa,"focused, happy, euphoric, creative, energetic, fatigue, stress, depression, inflammation, lackofappetite, drymouth, anxious, dizzy, dryeyes, headache, sweet, vanilla, diesel, sativa"
afghan diesel,euphoric,happy,uplifted,relaxed,creative,stress,pain,insomnia,depression,lackofappetite,drymouth,dryeyes,paranoid,dizzy,anxious,earthy,flowery,grapefruit,hybrid,"euphoric, happy, uplifted, relaxed, creative, stress, pain, insomnia, depression, lackofappetite, drymouth, dryeyes, paranoid, dizzy, anxious, earthy, flowery, grapefruit, hybrid"
afghan hawaiian,relaxed,euphoric,uplifted,sleepy,energetic,depression,insomnia,nausea,stress,none,drymouth,anxious,dizzy,paranoid,none,nutty,pineapple,sweet,indica,"relaxed, euphoric, uplifted, sleepy, energetic, depression, insomnia, nausea, stress, none, drymouth, anxious, dizzy, paranoid, none, nutty, pineapple, sweet, indica"
afghan haze,creative,giggly,hungry,happy,relaxed,fatigue,lackofappetite,nausea,inflammation,stress,dryeyes,dizzy,drymouth,headache,anxious,earthy,diesel,woody,hybrid,"creative, giggly, hungry, happy, relaxed, fatigue, lackofappetite, nausea, inflammation, stress, dryeyes, dizzy, drymouth, headache, anxious, earthy, diesel, woody, hybrid"
afghan kush,relaxed,happy,sleepy,euphoric,uplifted,pain,stress,insomnia,depression,lackofappetite,drymouth,dryeyes,dizzy,paranoid,headache,earthy,woody,flowery,indica,"relaxed, happy, sleepy, euphoric, uplifted, pain, stress, insomnia, depression, lackofappetite, drymouth, dryeyes, dizzy, paranoid, headache, earthy, woody, flowery, indica"
afghan skunk,euphoric,uplifted,hungry,relaxed,sleepy,stress,insomnia,lackofappetite,depression,pain,drymouth,dryeyes,dizzy,headache,anxious,skunk,earthy,woody,indica,"euphoric, uplifted, hungry, relaxed, sleepy, stress, insomnia, lackofappetite, depression, pain, drymouth, dryeyes, dizzy, headache, anxious, skunk, earthy, woody, indica"
afghan sour kush,relaxed,sleepy,euphoric,hungry,aroused,fatigue,stress,eyepressure,headaches,insomnia,drymouth,dryeyes,none,none,none,earthy,sweet,diesel,indica,"relaxed, sleepy, euphoric, hungry, aroused, fatigue, stress, eyepressure, headaches, insomnia, drymouth, dryeyes, none, none, none, earthy, sweet, diesel, indica"
afghan widow,energetic,focused,talkative,relaxed,hungry,stress,eyepressure,fatigue,inflammation,lackofappetite,drymouth,dizzy,headache,dryeyes,none,pungent,spicy/herbal,diesel,hybrid,"energetic, focused, talkative, relaxed, hungry, stress, eyepressure, fatigue, inflammation, lackofappetite, drymouth, dizzy, headache, dryeyes, none, pungent, spicy/herbal, diesel, hybrid"
afghani,relaxed,sleepy,euphoric,happy,tingly,insomnia,pain,stress,depression,musclespasms,drymouth,dryeyes,headache,dizzy,anxious,earthy,pungent,pine,indica,"relaxed, sleepy, euphoric, happy, tingly, insomnia, pain, stress, depression, musclespasms, drymouth, dryeyes, headache, dizzy, anxious, earthy, pungent, pine, indica"
afghani bullrider,focused,hungry,talkative,relaxed,happy,stress,pain,lackofappetite,musclespasms,insomnia,drymouth,paranoid,dryeyes,dizzy,headache,pine,earthy,berry,indica,"focused, hungry, talkative, relaxed, happy, stress, pain, lackofappetite, musclespasms, insomnia, drymouth, paranoid, dryeyes, dizzy, headache, pine, earthy, berry, indica"
afghani cbd,creative,relaxed,sleepy,happy,euphoric,inflammation,stress,insomnia,pain,musclespasms,drymouth,dryeyes,dizzy,headache,none,berry,flowery,spicy/herbal,indica,"creative, relaxed, sleepy, happy, euphoric, inflammation, stress, insomnia, pain, musclespasms, drymouth, dryeyes, dizzy, headache, none, berry, flowery, spicy/herbal, indica"
